,Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,State,Order Month,Order Year
25,OD26,Krithika,Snacks,Chocolates,Tirunelveli,2017-01-16,West,2022,0.11,202.2,Tamil Nadu,1,2017
26,OD27,Muneer,Snacks,Cookies,Trichy,2017-01-16,West,541,0.12,43.28,Tamil Nadu,1,2017
27,OD28,Jackson,Bakery,Biscuits,Viluppuram,2016-09-17,East,979,0.22,401.39,Tamil Nadu,9,2016
28,OD29,Veronica,Beverages,Soft Drinks,Krishnagiri,2016-09-17,East,1988,0.22,874.72,Tamil Nadu,9,2016
29,OD30,Shah,Oil & Masala,Masalas,Kanyakumari,2016-09-17,East,989,0.17,69.23,Tamil Nadu,9,2016
30,OD31,Ramesh,Beverages,Soft Drinks,Dharmapuri,2016-09-17,East,1845,0.24,166.05,Tamil Nadu,9,2016
31,OD32,Mathew,Snacks,Noodles,Vellore,2016-09-17,East,1400,0.11,420.0,Tamil Nadu,9,2016
32,OD33,Akash,Oil & Masala,Edible Oil & Ghee,Trichy,2016-09-17,East,2163,0.26,670.53,Tamil Nadu,9,2016
33,OD34,Anu,Oil & Masala,Masalas,Madurai,2016-09-17,East,1689,0.34,337.8,Tamil Nadu,9,2016
34,OD35,Anu,Beverages,Health Drinks,Vellore,2018-10-19,Central,809,0.32,80.9,Tamil Nadu,10,2018
35,OD36,Sabeela,"Eggs, Meat & Fish",Eggs,Tirunelveli,2017-12-08,Central,1265,0.22,569.25,Tamil Nadu,12,2017
36,OD37,James,Beverages,Soft Drinks,Salem,2017-12-08,Central,934,0.35,56.04,Tamil Nadu,12,2017
37,OD38,Willams,Fruits & Veggies,Organic Vegetables,Ramanadhapuram,2016-12-27,Central,1354,0.16,446.82,Tamil Nadu,12,2016
38,OD39,Jonas,Fruits & Veggies,Fresh Fruits,Chennai,2016-12-27,Central,1751,0.19,280.16,Tamil Nadu,12,2016
39,OD40,Sabeela,"Eggs, Meat & Fish",Chicken,Cumbum,2016-12-27,Central,2045,0.23,879.35,Tamil Nadu,12,2016
40,OD41,Malik,Beverages,Health Drinks,Namakkal,2016-12-27,Central,660,0.19,92.4,Tamil Nadu,12,2016
41,OD42,Arutra,Beverages,Soft Drinks,Salem,2018-09-10,Central,1868,0.18,616.44,Tamil Nadu,9,2018
42,OD43,Sharon,Snacks,Cookies,Bodi,2017-07-17,West,1017,0.25,345.78,Tamil Nadu,7,2017
43,OD44,Mathew,Snacks,Cookies,Dharmapuri,2018-09-19,South,2311,0.2,1039.95,Tamil Nadu,9,2018
44,OD45,Amrish,Bakery,Biscuits,Krishnagiri,2017-03-11,Central,1663,0.17,731.72,Tamil Nadu,3,2017
45,OD46,Vince,"Eggs, Meat & Fish",Eggs,Madurai,2017-03-11,Central,1420,0.19,355.0,Tamil Nadu,3,2017
46,OD47,Suresh,Fruits & Veggies,Organic Vegetables,Nagercoil,2015-10-20,Central,1415,0.31,509.4,Tamil Nadu,10,2015
47,OD48,Mathew,Snacks,Noodles,Chennai,2017-06-20,East,1488,0.3,610.08,Tamil Nadu,6,2017
48,OD49,Ridhesh,Snacks,Noodles,Pudukottai,2017-06-20,East,726,0.18,43.56,Tamil Nadu,6,2017
49,OD50,Amrish,Bakery,Cakes,Ooty,2016-04-18,Central,1259,0.15,415.47,Tamil Nadu,4,2016
50,OD51,Esther,Beverages,Soft Drinks,Salem,2016-04-18,Central,902,0.29,153.34,Tamil Nadu,4,2016
51,OD52,Shah,Beverages,Soft Drinks,Salem,2016-04-18,Central,2306,0.3,553.44,Tamil Nadu,4,2016
52,OD53,Sudha,Bakery,Cakes,Theni,2016-04-18,Central,1417,0.19,99.19,Tamil Nadu,4,2016
53,OD54,Yusuf,Fruits & Veggies,Fresh Vegetables,Madurai,2017-12-11,East,627,0.33,181.83,Tamil Nadu,12,2017
54,OD55,Esther,Fruits & Veggies,Organic Fruits,Nagercoil,2017-12-11,East,760,0.28,60.8,Tamil Nadu,12,2017
55,OD56,Muneer,Food Grains,Atta & Flour,Salem,2017-06-17,East,2350,0.15,611.0,Tamil Nadu,6,2017
56,OD57,Komal,"Eggs, Meat & Fish",Fish,Krishnagiri,2017-06-17,East,1179,0.34,271.17,Tamil Nadu,6,2017
57,OD58,Veena,Food Grains,Dals & Pulses,Trichy,2017-06-17,East,1624,0.35,194.88,Tamil Nadu,6,2017
58,OD59,Sharon,"Eggs, Meat & Fish",Mutton,Trichy,2017-06-17,East,1316,0.35,421.12,Tamil Nadu,6,2017
59,OD60,Shree,Beverages,Health Drinks,Coimbatore,2017-06-17,East,2121,0.12,678.72,Tamil Nadu,6,2017
60,OD61,Roshan,Oil & Masala,Masalas,Virudhunagar,2017-06-17,East,1428,0.28,271.32,Tamil Nadu,6,2017
61,OD62,Willams,Snacks,Noodles,Perambalur,2017-06-17,East,706,0.33,289.46,Tamil Nadu,6,2017
62,OD63,Sudeep,"Eggs, Meat & Fish",Fish,Dharmapuri,2016-11-24,West,921,0.25,184.2,Tamil Nadu,11,2016
63,OD64,Yusuf,Fruits & Veggies,Fresh Fruits,Trichy,2016-11-24,West,1741,0.31,661.58,Tamil Nadu,11,2016
64,OD65,Willams,"Eggs, Meat & Fish",Eggs,Madurai,2016-11-24,West,607,0.22,200.31,Tamil Nadu,11,2016
65,OD66,Muneer,"Eggs, Meat & Fish",Mutton,Tirunelveli,2016-11-24,West,1824,0.25,766.08,Tamil Nadu,11,2016
66,OD67,Vinne,Food Grains,Atta & Flour,Madurai,2016-04-30,Central,1368,0.11,383.04,Tamil Nadu,4,2016
67,OD68,Roshan,Fruits & Veggies,Fresh Vegetables,Pudukottai,2015-12-05,West,1160,0.16,510.4,Tamil Nadu,12,2015
68,OD69,Ramesh,Food Grains,Atta & Flour,Viluppuram,2015-12-05,West,1294,0.23,77.64,Tamil Nadu,12,2015
69,OD70,Peer,Oil & Masala,Masalas,Ooty,2017-06-04,South,1232,0.14,554.4,Tamil Nadu,6,2017
70,OD71,Verma,"Eggs, Meat & Fish",Mutton,Kanyakumari,2017-09-18,East,994,0.31,357.84,Tamil Nadu,9,2017
71,OD72,Yusuf,Snacks,Noodles,Kanyakumari,2018-09-14,Central,2468,0.18,1011.88,Tamil Nadu,9,2018
72,OD73,Alan,Snacks,Cookies,Theni,2016-04-26,South,721,0.27,100.94,Tamil Nadu,4,2016
73,OD74,Vidya,Fruits & Veggies,Organic Vegetables,Vellore,2016-04-26,South,2375,0.21,475.0,Tamil Nadu,4,2016
74,OD75,Arvind,Beverages,Soft Drinks,Vellore,2016-04-26,South,1965,0.13,117.9,Tamil Nadu,4,2016
75,OD76,Veronica,Beverages,Soft Drinks,Bodi,2018-12-09,Central,1489,0.12,193.57,Tamil Nadu,12,2018
76,OD77,Arvind,Fruits & Veggies,Organic Fruits,Ooty,2018-12-09,Central,1250,0.27,75.0,Tamil Nadu,12,2018
77,OD78,Anu,Snacks,Noodles,Coimbatore,2018-12-09,Central,1358,0.31,488.88,Tamil Nadu,12,2018
78,OD79,Haseena,Snacks,Cookies,Vellore,2015-11-26,Central,719,0.2,64.71,Tamil Nadu,11,2015
79,OD80,Veena,Fruits & Veggies,Organic Fruits,Chennai,2017-06-12,South,2303,0.26,621.81,Tamil Nadu,6,2017
80,OD81,Kumar,Beverages,Health Drinks,Kanyakumari,2017-06-12,South,2027,0.34,912.15,Tamil Nadu,6,2017
81,OD82,Amy,Food Grains,Atta & Flour,Bodi,2015-10-12,West,1739,0.29,765.16,Tamil Nadu,10,2015
82,OD83,Komal,Oil & Masala,Spices,Cumbum,2015-10-12,West,990,0.26,227.7,Tamil Nadu,10,2015
83,OD84,Ravi,Beverages,Soft Drinks,Dharmapuri,2016-09-03,South,2354,0.11,682.66,Tamil Nadu,9,2016
84,OD85,Amy,Fruits & Veggies,Organic Fruits,Bodi,2018-11-13,Central,1044,0.1,344.52,Tamil Nadu,11,2018
85,OD86,Willams,Oil & Masala,Spices,Dindigul,2018-05-28,South,2129,0.25,659.99,Tamil Nadu,5,2018
86,OD87,Sharon,Food Grains,Rice,Theni,2018-10-26,Central,1759,0.1,615.65,Tamil Nadu,10,2018
87,OD88,Ramesh,"Eggs, Meat & Fish",Eggs,Viluppuram,2018-10-26,Central,1663,0.26,665.2,Tamil Nadu,10,2018
88,OD89,Sheeba,Bakery,Breads & Buns,Perambalur,2017-04-05,Central,2111,0.21,189.99,Tamil Nadu,4,2017
89,OD90,Krithika,Food Grains,Dals & Pulses,Madurai,2017-09-17,West,1878,0.12,450.72,Tamil Nadu,9,2017
90,OD91,Willams,"Eggs, Meat & Fish",Chicken,Ooty,2017-09-17,West,769,0.34,46.14,Tamil Nadu,9,2017
91,OD92,Roshan,Beverages,Health Drinks,Virudhunagar,2017-09-17,West,1241,0.14,409.53,Tamil Nadu,9,2017
92,OD93,Ravi,Food Grains,Atta & Flour,Madurai,2016-01-31,Central,2128,0.14,383.04,Tamil Nadu,1,2016
93,OD94,Ram,Fruits & Veggies,Fresh Fruits,Namakkal,2016-01-31,Central,2257,0.33,270.84,Tamil Nadu,1,2016
94,OD95,Mathew,Snacks,Chocolates,Bodi,2016-01-31,Central,1285,0.28,218.45,Tamil Nadu,1,2016
95,OD96,Veena,"Eggs, Meat & Fish",Fish,Virudhunagar,2018-11-06,West,1230,0.13,442.8,Tamil Nadu,11,2018
96,OD97,Sudha,Food Grains,Atta & Flour,Ooty,2018-11-09,East,1856,0.21,723.84,Tamil Nadu,11,2018
97,OD98,Sharon,Fruits & Veggies,Fresh Fruits,Trichy,2018-06-17,West,545,0.31,125.35,Tamil Nadu,6,2018
98,OD99,Vince,Snacks,Chocolates,Dharmapuri,2017-09-06,Central,2301,0.28,391.17,Tamil Nadu,9,2017
99,OD100,Krithika,Oil & Masala,Spices,Chennai,2017-08-29,Central,1475,0.26,531.0,Tamil Nadu,8,2017
100,OD101,Adavan,Bakery,Cakes,Coimbatore,2017-08-29,Central,2118,0.35,910.74,Tamil Nadu,8,2017
101,OD102,Roshan,Beverages,Soft Drinks,Coimbatore,2017-08-29,Central,1527,0.17,671.88,Tamil Nadu,8,2017
102,OD103,Vinne,Snacks,Chocolates,Nagercoil,2017-12-01,Central,567,0.18,175.77,Tamil Nadu,12,2017
103,OD104,Amy,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,2016-11-13,West,969,0.27,184.11,Tamil Nadu,11,2016
104,OD105,Suresh,Food Grains,Dals & Pulses,Karur,2016-11-13,West,2300,0.14,1035.0,Tamil Nadu,11,2016
105,OD106,Komal,Oil & Masala,Masalas,Kanyakumari,2016-11-13,West,1575,0.33,78.75,Tamil Nadu,11,2016
106,OD107,Sundar,Beverages,Health Drinks,Cumbum,2018-11-23,South,540,0.12,108.0,Tamil Nadu,11,2018
107,OD108,Willams,Snacks,Cookies,Tirunelveli,2018-11-23,South,536,0.34,176.88,Tamil Nadu,11,2018
108,OD109,Vidya,"Eggs, Meat & Fish",Eggs,Tirunelveli,2018-11-23,South,556,0.21,155.68,Tamil Nadu,11,2018
109,OD110,Shree,Fruits & Veggies,Fresh Fruits,Coimbatore,2016-10-15,Central,1179,0.16,271.17,Tamil Nadu,10,2016
110,OD111,Sundar,Food Grains,Dals & Pulses,Namakkal,2018-12-25,East,1487,0.12,505.58,Tamil Nadu,12,2018
111,OD112,Arvind,Bakery,Breads & Buns,Pudukottai,2017-11-03,Central,2220,0.1,111.0,Tamil Nadu,11,2017
112,OD113,Ravi,Oil & Masala,Edible Oil & Ghee,Dindigul,2017-11-03,Central,2155,0.3,581.85,Tamil Nadu,11,2017
113,OD114,Vinne,Fruits & Veggies,Fresh Vegetables,Krishnagiri,2015-08-25,East,1154,0.1,69.24,Tamil Nadu,8,2015
114,OD115,Muneer,Snacks,Noodles,Salem,2015-08-25,East,2420,0.11,242.0,Tamil Nadu,8,2015
115,OD116,Rumaiza,Snacks,Chocolates,Karur,2015-08-25,East,1305,0.24,287.1,Tamil Nadu,8,2015
116,OD117,Hussain,Fruits & Veggies,Organic Fruits,Bodi,2015-08-25,East,927,0.2,157.59,Tamil Nadu,8,2015
117,OD118,Arvind,Fruits & Veggies,Organic Vegetables,Viluppuram,2016-03-02,West,983,0.11,186.77,Tamil Nadu,3,2016
118,OD119,Akash,Food Grains,Rice,Chennai,2016-04-05,South,903,0.1,90.3,Tamil Nadu,4,2016
119,OD120,Ganesh,"Eggs, Meat & Fish",Chicken,Cumbum,2017-06-12,East,1235,0.12,74.1,Tamil Nadu,6,2017
120,OD121,Alan,Fruits & Veggies,Organic Vegetables,Tirunelveli,2017-06-12,East,1243,0.24,174.02,Tamil Nadu,6,2017
121,OD122,Harish,Bakery,Cakes,Krishnagiri,2017-06-12,East,649,0.34,201.19,Tamil Nadu,6,2017
122,OD123,Veronica,"Eggs, Meat & Fish",Mutton,Tenkasi,2017-06-12,East,2354,0.11,188.32,Tamil Nadu,6,2017
123,OD124,Anu,Beverages,Soft Drinks,Cumbum,2017-06-12,East,1443,0.27,187.59,Tamil Nadu,6,2017
124,OD125,Sudeep,Bakery,Breads & Buns,Madurai,2015-12-26,Central,975,0.26,390.0,Tamil Nadu,12,2015
125,OD126,Yusuf,Fruits & Veggies,Organic Vegetables,Virudhunagar,2015-09-20,Central,889,0.19,71.12,Tamil Nadu,9,2015
126,OD127,Shah,"Eggs, Meat & Fish",Mutton,Karur,2018-11-05,West,2352,0.17,870.24,Tamil Nadu,11,2018
127,OD128,Harish,Oil & Masala,Spices,Tirunelveli,2018-11-05,West,1293,0.23,336.18,Tamil Nadu,11,2018
128,OD129,Sharon,Food Grains,Rice,Bodi,2017-11-06,West,1458,0.29,597.78,Tamil Nadu,11,2017
129,OD130,Peer,Food Grains,Atta & Flour,Coimbatore,2017-11-06,West,1801,0.22,126.07,Tamil Nadu,11,2017
130,OD131,Haseena,Snacks,Chocolates,Tenkasi,2018-02-02,East,1261,0.29,416.13,Tamil Nadu,2,2018
131,OD132,Sundar,Beverages,Soft Drinks,Nagercoil,2018-02-02,East,2112,0.28,105.6,Tamil Nadu,2,2018
132,OD133,Ram,"Eggs, Meat & Fish",Fish,Ramanadhapuram,2018-02-02,East,640,0.24,140.8,Tamil Nadu,2,2018
133,OD134,Shah,Bakery,Cakes,Tenkasi,2017-10-13,West,1658,0.12,315.02,Tamil Nadu,10,2017
134,OD135,Harish,Beverages,Health Drinks,Ramanadhapuram,2017-10-13,West,2373,0.18,664.44,Tamil Nadu,10,2017
135,OD136,Veena,Fruits & Veggies,Organic Fruits,Cumbum,2017-10-13,West,1430,0.19,514.8,Tamil Nadu,10,2017
136,OD137,Sundar,Oil & Masala,Spices,Viluppuram,2017-10-13,West,1873,0.3,674.28,Tamil Nadu,10,2017
137,OD138,Jackson,"Eggs, Meat & Fish",Eggs,Theni,2017-10-13,West,867,0.14,329.46,Tamil Nadu,10,2017
138,OD139,Malik,Snacks,Noodles,Theni,2017-10-13,West,1101,0.19,484.44,Tamil Nadu,10,2017
139,OD140,Hussain,"Eggs, Meat & Fish",Mutton,Ooty,2017-10-13,West,1088,0.28,424.32,Tamil Nadu,10,2017
140,OD141,Veena,Bakery,Biscuits,Perambalur,2017-09-05,East,866,0.32,381.04,Tamil Nadu,9,2017
141,OD142,Aditi,Oil & Masala,Masalas,Tirunelveli,2018-09-18,West,2483,0.14,223.47,Tamil Nadu,9,2018
142,OD143,Surya,Food Grains,Atta & Flour,Kanyakumari,2018-09-18,West,1335,0.11,293.7,Tamil Nadu,9,2018
143,OD144,Sharon,"Eggs, Meat & Fish",Fish,Tenkasi,2018-09-18,West,765,0.24,252.45,Tamil Nadu,9,2018
144,OD145,Vinne,"Eggs, Meat & Fish",Mutton,Tenkasi,2018-12-22,Central,2403,0.2,624.78,Tamil Nadu,12,2018
145,OD146,Malik,Oil & Masala,Edible Oil & Ghee,Coimbatore,2016-09-07,West,1551,0.13,573.87,Tamil Nadu,9,2016
146,OD147,Ridhesh,Food Grains,Organic Staples,Theni,2015-10-22,East,1564,0.27,187.68,Tamil Nadu,10,2015
147,OD148,Harish,Fruits & Veggies,Fresh Vegetables,Tirunelveli,2017-12-05,Central,1125,0.33,292.5,Tamil Nadu,12,2017
148,OD149,Veronica,Beverages,Health Drinks,Tenkasi,2017-12-05,Central,768,0.1,184.32,Tamil Nadu,12,2017
149,OD150,Ravi,"Eggs, Meat & Fish",Fish,Vellore,2017-12-05,Central,1985,0.26,734.45,Tamil Nadu,12,2017
150,OD151,Muneer,Food Grains,Rice,Bodi,2017-12-05,Central,2287,0.13,1029.15,Tamil Nadu,12,2017
151,OD152,Jackson,Snacks,Chocolates,Pudukottai,2017-03-13,West,1016,0.34,335.28,Tamil Nadu,3,2017
152,OD153,Amy,Snacks,Cookies,Namakkal,2017-03-13,West,852,0.26,76.68,Tamil Nadu,3,2017
153,OD154,Ram,Food Grains,Organic Staples,Ramanadhapuram,2016-05-31,West,1233,0.28,234.27,Tamil Nadu,5,2016
154,OD155,Jonas,Snacks,Noodles,Pudukottai,2016-05-31,West,2236,0.14,626.08,Tamil Nadu,5,2016
155,OD156,Ramesh,Fruits & Veggies,Fresh Vegetables,Viluppuram,2016-05-31,West,2188,0.32,809.56,Tamil Nadu,5,2016
156,OD157,Peer,Snacks,Cookies,Coimbatore,2016-05-28,West,1114,0.2,456.74,Tamil Nadu,5,2016
157,OD158,Komal,Oil & Masala,Edible Oil & Ghee,Salem,2015-03-01,West,1774,0.15,620.9,Tamil Nadu,3,2015
158,OD159,Amy,Beverages,Soft Drinks,Karur,2017-11-20,Central,2364,0.21,1040.16,Tamil Nadu,11,2017
159,OD160,Amrish,Food Grains,Dals & Pulses,Madurai,2017-11-20,Central,1487,0.11,148.7,Tamil Nadu,11,2017
160,OD161,Yadav,Beverages,Soft Drinks,Ooty,2017-05-11,West,713,0.3,192.51,Tamil Nadu,5,2017
161,OD162,Vinne,"Eggs, Meat & Fish",Fish,Kanyakumari,2016-12-28,East,737,0.2,280.06,Tamil Nadu,12,2016
162,OD163,Amrish,Snacks,Chocolates,Trichy,2017-11-16,West,1004,0.26,341.36,Tamil Nadu,11,2017
163,OD164,Hussain,Snacks,Cookies,Theni,2017-11-07,West,1516,0.32,121.28,Tamil Nadu,11,2017
164,OD165,Haseena,Food Grains,Atta & Flour,Ramanadhapuram,2015-09-08,Central,1442,0.28,605.64,Tamil Nadu,9,2015
165,OD166,Sudha,Beverages,Health Drinks,Madurai,2015-09-08,Central,1690,0.33,422.5,Tamil Nadu,9,2015
166,OD167,Adavan,Snacks,Chocolates,Bodi,2015-09-08,Central,2021,0.13,343.57,Tamil Nadu,9,2015
167,OD168,Aditi,"Eggs, Meat & Fish",Mutton,Ooty,2015-09-08,Central,2340,0.25,491.4,Tamil Nadu,9,2015
168,OD169,Krithika,Oil & Masala,Spices,Viluppuram,2015-09-08,Central,705,0.15,176.25,Tamil Nadu,9,2015
169,OD170,Sharon,"Eggs, Meat & Fish",Chicken,Trichy,2015-09-08,Central,1215,0.2,60.75,Tamil Nadu,9,2015
170,OD171,Akash,Food Grains,Dals & Pulses,Krishnagiri,2015-09-08,Central,552,0.25,237.36,Tamil Nadu,9,2015
171,OD172,Sabeela,Beverages,Health Drinks,Tirunelveli,2015-08-05,West,1412,0.11,564.8,Tamil Nadu,8,2015
172,OD173,Surya,Food Grains,Dals & Pulses,Tirunelveli,2015-08-05,West,791,0.32,150.29,Tamil Nadu,8,2015
173,OD174,Alan,Fruits & Veggies,Organic Vegetables,Viluppuram,2015-08-05,West,2476,0.33,420.92,Tamil Nadu,8,2015
174,OD175,Aditi,Fruits & Veggies,Fresh Vegetables,Karur,2015-09-14,Central,1747,0.27,471.69,Tamil Nadu,9,2015
175,OD176,Shah,Fruits & Veggies,Organic Fruits,Pudukottai,2015-09-14,Central,1973,0.15,848.39,Tamil Nadu,9,2015
176,OD177,Mathew,Oil & Masala,Spices,Krishnagiri,2018-04-21,Central,2025,0.24,546.75,Tamil Nadu,4,2018
177,OD178,Rumaiza,Snacks,Noodles,Vellore,2016-11-21,East,1016,0.29,223.52,Tamil Nadu,11,2016
178,OD179,Arvind,Fruits & Veggies,Organic Fruits,Trichy,2016-11-21,East,689,0.3,55.12,Tamil Nadu,11,2016
179,OD180,Krithika,Food Grains,Atta & Flour,Karur,2016-12-15,East,1322,0.16,343.72,Tamil Nadu,12,2016
180,OD181,Arvind,Snacks,Cookies,Bodi,2015-12-05,Central,1605,0.25,433.35,Tamil Nadu,12,2015
181,OD182,Ravi,Beverages,Health Drinks,Namakkal,2015-12-05,Central,1718,0.2,171.8,Tamil Nadu,12,2015
182,OD183,Jonas,Oil & Masala,Edible Oil & Ghee,Madurai,2015-11-19,South,2177,0.35,783.72,Tamil Nadu,11,2015
183,OD184,Surya,Food Grains,Organic Staples,Cumbum,2015-11-19,South,578,0.19,236.98,Tamil Nadu,11,2015
184,OD185,Amrish,Food Grains,Dals & Pulses,Dindigul,2015-11-19,South,782,0.28,195.5,Tamil Nadu,11,2015
185,OD186,Shah,Snacks,Noodles,Chennai,2017-11-28,East,1388,0.35,97.16,Tamil Nadu,11,2017
186,OD187,Krithika,Bakery,Cakes,Cumbum,2015-08-26,West,2264,0.21,792.4,Tamil Nadu,8,2015
187,OD188,Anu,Beverages,Soft Drinks,Pudukottai,2017-07-16,Central,813,0.16,138.21,Tamil Nadu,7,2017
188,OD189,Yusuf,Fruits & Veggies,Organic Fruits,Madurai,2017-07-16,Central,2015,0.24,564.2,Tamil Nadu,7,2017
189,OD190,Rumaiza,Beverages,Soft Drinks,Vellore,2016-10-12,East,1433,0.3,472.89,Tamil Nadu,10,2016
190,OD191,Amrish,Fruits & Veggies,Organic Fruits,Chennai,2016-10-12,East,2093,0.11,334.88,Tamil Nadu,10,2016
191,OD192,Muneer,Fruits & Veggies,Fresh Vegetables,Chennai,2016-10-12,East,2149,0.17,623.21,Tamil Nadu,10,2016
192,OD193,Anu,Beverages,Health Drinks,Dharmapuri,2016-10-12,East,1972,0.32,414.12,Tamil Nadu,10,2016
193,OD194,Suresh,Oil & Masala,Masalas,Dharmapuri,2016-10-12,East,2060,0.25,432.6,Tamil Nadu,10,2016
194,OD195,Peer,"Eggs, Meat & Fish",Eggs,Tirunelveli,2016-10-31,West,1175,0.12,340.75,Tamil Nadu,10,2016
195,OD196,Sundar,Oil & Masala,Edible Oil & Ghee,Theni,2015-03-21,East,1006,0.25,191.14,Tamil Nadu,3,2015
196,OD197,Sudeep,Bakery,Breads & Buns,Karur,2015-03-21,East,1409,0.16,380.43,Tamil Nadu,3,2015
197,OD198,Verma,Food Grains,Organic Staples,Pudukottai,2018-11-06,East,914,0.34,338.18,Tamil Nadu,11,2018
198,OD199,Surya,"Eggs, Meat & Fish",Mutton,Tirunelveli,2018-07-06,East,1352,0.3,527.28,Tamil Nadu,7,2018
199,OD200,Sudha,"Eggs, Meat & Fish",Eggs,Trichy,2018-07-06,East,682,0.25,170.5,Tamil Nadu,7,2018
200,OD201,James,Food Grains,Organic Staples,Tirunelveli,2018-06-24,East,1738,0.22,243.32,Tamil Nadu,6,2018
201,OD202,Vidya,Bakery,Cakes,Salem,2015-08-03,West,2421,0.25,484.2,Tamil Nadu,8,2015
202,OD203,Jackson,Food Grains,Organic Staples,Ramanadhapuram,2015-08-03,West,2245,0.24,404.1,Tamil Nadu,8,2015
203,OD204,Akash,Oil & Masala,Masalas,Vellore,2018-12-17,Central,896,0.12,295.68,Tamil Nadu,12,2018
204,OD205,Ram,Oil & Masala,Spices,Virudhunagar,2018-06-03,South,1033,0.3,185.94,Tamil Nadu,6,2018
205,OD206,Vinne,"Eggs, Meat & Fish",Mutton,Madurai,2018-12-09,West,1998,0.29,139.86,Tamil Nadu,12,2018
206,OD207,Verma,"Eggs, Meat & Fish",Chicken,Perambalur,2018-12-01,Central,1469,0.15,646.36,Tamil Nadu,12,2018
207,OD208,Haseena,"Eggs, Meat & Fish",Eggs,Ramanadhapuram,2018-12-01,Central,1899,0.25,360.81,Tamil Nadu,12,2018
208,OD209,Esther,"Eggs, Meat & Fish",Mutton,Pudukottai,2018-12-01,Central,2194,0.2,153.58,Tamil Nadu,12,2018
209,OD210,Amrish,Beverages,Soft Drinks,Vellore,2018-12-01,Central,1942,0.29,504.92,Tamil Nadu,12,2018
210,OD211,Hafiz,Fruits & Veggies,Organic Vegetables,Kanyakumari,2018-12-01,Central,609,0.3,207.06,Tamil Nadu,12,2018
211,OD212,Verma,"Eggs, Meat & Fish",Chicken,Trichy,2016-02-09,Central,2353,0.26,423.54,Tamil Nadu,2,2016
